Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]	PARP1 ADPRT PPOL	apoptotic process [GO:0006915]; ATP generation from poly-ADP-D-ribose [GO:1990966]; carbohydrate biosynthetic process [GO:0016051]; cellular response to amyloid-beta [GO:1904646]; cellular response to insulin stimulus [GO:0032869]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to oxidative stress [GO:0034599]; cellular response to UV [GO:0034644]; cellular response to zinc ion [GO:0071294]; decidualization [GO:0046697]; DNA ADP-ribosylation [GO:0030592]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; innate immune response [GO:0045087]; macrophage differentiation [GO:0030225]; mitochondrial DNA metabolic process [GO:0032042]; mitochondrial DNA repair [GO:0043504]; mitochondrion organization [GO:0007005]; negative regulation of adipose tissue development [GO:1904178]; negative regulation of ATP biosynthetic process [GO:2001170]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of innate immune response [GO:0045824]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; positive regulation of adipose tissue development [GO:1904179]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of myofibroblast differentiation [GO:1904762]; positive regulation of necroptotic process [GO:0060545]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein auto-ADP-ribosylation [GO:0070213]; protein autoprocessing [GO:0016540]; protein localization to chromatin [GO:0071168]; protein modification process [GO:0036211]; protein poly-ADP-ribosylation [GO:0070212]; regulation of base-excision repair [GO:1905051]; regulation of circadian sleep/wake cycle, non-REM sleep [GO:0045188]; regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903376]; regulation of protein localization [GO:0032880]; replication fork reversal [GO:0071932]; response to aldosterone [GO:1904044]; response to ethanol [GO:0045471]; response to gamma radiation [GO:0010332]; signal transduction involved in regulation of gene expression [GO:0023019]; telomere maintenance [GO:0000723]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]	41796924	68
Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1)	CPTP GLTPD1	ceramide 1-phosphate transport [GO:1902389]; ceramide transport [GO:0035627]; intermembrane lipid transfer [GO:0120009]; negative regulation of autophagy [GO:0010507]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]	29164996	5
Polyglutamine-binding protein 1 (PQBP-1) (38 kDa nuclear protein containing a WW domain) (Npw38) (Polyglutamine tract-binding protein 1)	PQBP1 NPW38 JM26	activation of innate immune response [GO:0002218]; alternative mRNA splicing, via spliceosome [GO:0000380]; cellular response to exogenous dsRNA [GO:0071360]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; neuron projection development [GO:0031175]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of type I interferon production [GO:0032481]; regulation of dendrite morphogenesis [GO:0048814]; regulation of DNA-templated transcription [GO:0006355]; regulation of RNA splicing [GO:0043484]	35809572	3
Protein regulator of cytokinesis 1	PRC1	cell division [GO:0051301]; microtubule cytoskeleton organization [GO:0000226]; mitotic spindle elongation [GO:0000022]; mitotic spindle midzone assembly [GO:0051256]; positive regulation of cell population proliferation [GO:0008284]; regulation of cytokinesis [GO:0032465]	34518527	2
Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	antiviral innate immune response [GO:0140374]; cellular response to amino acid starvation [GO:0034198]; defense response to virus [GO:0051607]; endoplasmic reticulum unfolded protein response [GO:0030968]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of osteoblast proliferation [GO:0033689]; negative regulation of translation [GO:0017148]; negative regulation of viral genome replication [GO:0045071]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production [GO:0001819]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of stress-activated MAPK cascade [GO:0032874]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of hematopoietic progenitor cell differentiation [GO:1901532]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of hematopoietic stem cell proliferation [GO:1902033]; regulation of NLRP3 inflammasome complex assembly [GO:1900225]; regulation of translational initiation [GO:0006446]; response to interferon-alpha [GO:0035455]; response to virus [GO:0009615]; translation [GO:0006412]	27779186	4
Apoptosis-associated speck-like protein containing a CARD (hASC) (Caspase recruitment domain-containing protein 5) (PYD and CARD domain-containing protein) (Target of methylation-induced silencing 1)	PYCARD ASC CARD5 TMS1	activation of innate immune response [GO:0002218]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; defense response to virus [GO:0051607]; icosanoid biosynthetic process [GO:0046456]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; macropinocytosis [GO:0044351]; myeloid dendritic cell activation [GO:0001773]; myeloid dendritic cell activation involved in immune response [GO:0002277]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein serine/threonine kinase activity [GO:0071901]; NLRP3 inflammasome complex assembly [GO:0044546]; osmosensory signaling pathway [GO:0007231]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of antigen processing and presentation of peptide antigen via MHC class II [GO:0002588]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of chemokine production [GO:0032722]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of phagocytosis [GO:0050766]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell migration [GO:2000406]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type II interferon production [GO:0032729]; protein homooligomerization [GO:0051260]; pyroptotic inflammatory response [GO:0070269]; regulation of autophagy [GO:0010506]; regulation of inflammatory response [GO:0050727]; regulation of intrinsic apoptotic signaling pathway [GO:2001242]; regulation of protein stability [GO:0031647]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; signal transduction [GO:0007165]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	42233411	91
ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	cell differentiation [GO:0030154]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to osmotic stress [GO:0071470]; cellular response to virus [GO:0098586]; chromosome segregation [GO:0007059]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; cytosolic ribosome assembly [GO:0042256]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; gamete generation [GO:0007276]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; lipid homeostasis [GO:0055088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of gene expression [GO:0010629]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of translation [GO:0017148]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell growth [GO:0030307]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of mitochondrial translation [GO:0070131]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; positive regulation of toll-like receptor 8 signaling pathway [GO:0034161]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of translation in response to endoplasmic reticulum stress [GO:0036493]; positive regulation of translational initiation [GO:0045948]; positive regulation of type I interferon production [GO:0032481]; positive regulation of viral genome replication [GO:0045070]; protein localization to cytoplasmic stress granule [GO:1903608]; response to virus [GO:0009615]; stress granule assembly [GO:0034063]; translational initiation [GO:0006413]; Wnt signaling pathway [GO:0016055]	41739885	20
Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD)	CYLD CYLD1 KIAA0849 HSPC057	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment [GO:0043369]; homeostasis of number of cells [GO:0048872]; innate immune response [GO:0045087]; necroptotic process [GO:0070266]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-18-mediated signaling pathway [GO:2000493]; negative regulation of JNK cascade [GO:0046329]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of p38MAPK cascade [GO:1903753]; negative regulation of type I interferon production [GO:0032480]; nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0035872]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of protein localization [GO:1903829]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell receptor signaling pathway [GO:0050862]; protein deubiquitination [GO:0016579]; protein K63-linked deubiquitination [GO:0070536]; protein linear deubiquitination [GO:1990108]; proteolysis [GO:0006508]; regulation of B cell differentiation [GO:0045577]; regulation of cilium assembly [GO:1902017]; regulation of inflammatory response [GO:0050727]; regulation of intrinsic apoptotic signaling pathway [GO:2001242]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of mitotic cell cycle [GO:0007346]; regulation of necroptotic process [GO:0060544]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; ripoptosome assembly involved in necroptotic process [GO:1901026]; Wnt signaling pathway [GO:0016055]	38561786	6
Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A) (Succinyltransferase CPT1A) (EC 2.3.1.-)	CPT1A CPT1	aflatoxin metabolic process [GO:0046222]; carnitine metabolic process [GO:0009437]; carnitine shuttle [GO:0006853]; cellular response to fatty acid [GO:0071398]; eating behavior [GO:0042755]; epithelial cell differentiation [GO:0030855]; fatty acid beta-oxidation [GO:0006635]; fatty acid metabolic process [GO:0006631]; glucose metabolic process [GO:0006006]; liver regeneration [GO:0097421]; long-chain fatty acid metabolic process [GO:0001676]; positive regulation of fatty acid beta-oxidation [GO:0032000]; positive regulation of innate immune response [GO:0045089]; regulation of insulin secretion [GO:0050796]; response to alkaloid [GO:0043279]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]; response to tetrachloromethane [GO:1904772]; response to xenobiotic stimulus [GO:0009410]; triglyceride metabolic process [GO:0006641]	42146389	10
High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	activation of innate immune response [GO:0002218]; apoptotic cell clearance [GO:0043277]; autophagy [GO:0006914]; base-excision repair [GO:0006284]; cellular response to interleukin-7 [GO:0098761]; cellular response to lipopolysaccharide [GO:0071222]; chromatin remodeling [GO:0006338]; dendritic cell chemotaxis [GO:0002407]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; DNA topological change [GO:0006265]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; endothelial cell chemotaxis [GO:0035767]; endothelial cell proliferation [GO:0001935]; eye development [GO:0001654]; glycogen catabolic process [GO:0005980]; heterochromatin formation [GO:0031507]; inflammatory response [GO:0006954]; inflammatory response to antigenic stimulus [GO:0002437]; innate immune response [GO:0045087]; lung development [GO:0030324]; macrophage activation involved in immune response [GO:0002281]; myeloid cell differentiation [GO:0030099]; myeloid dendritic cell activation [GO:0001773]; myeloid progenitor cell differentiation [GO:0002318]; negative regulation of apoptotic cell clearance [GO:2000426]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0017055]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; neuron projection development [GO:0031175]; neutrophil clearance [GO:0097350]; plasmacytoid dendritic cell activation [GO:0002270]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000343]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendritic cell differentiation [GO:2001200]; positive regulation of DNA binding [GO:0043388]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glycogen catabolic process [GO:0045819]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mismatch repair [GO:0032425]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of monocyte chemotaxis [GO:0090026]; positive regulation of myeloid cell differentiation [GO:0045639]; positive regulation of myeloid progenitor cell differentiation [GO:1905455]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of toll-like receptor 2 signaling pathway [GO:0034137]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; positive regulation of viral entry into host cell [GO:0046598]; positive regulation of wound healing [GO:0090303]; regulation of nucleotide-excision repair [GO:2000819]; regulation of restriction endodeoxyribonuclease activity [GO:0032072]; regulation of T cell mediated immune response to tumor cell [GO:0002840]; regulation of tolerance induction [GO:0002643]; response to glucocorticoid [GO:0051384]; T-helper 1 cell activation [GO:0035711]; T-helper 1 cell differentiation [GO:0045063]; transcription by RNA polymerase II [GO:0006366]; V(D)J recombination [GO:0033151]	42242135	236
