Organelle Contact Site Stress		
This table was generated by retriving a list of proteins related to Mitochondria-Associated ER Membranes, ER-Peroxisome, & ER-Golgi Tethering Stress found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	BCL2L1 BCL2L BCLX	apoptotic mitochondrial changes [GO:0008637]; apoptotic process in bone marrow cell [GO:0071839]; cellular response to alkaloid [GO:0071312]; cellular response to amino acid stimulus [GO:0071230]; cellular response to gamma radiation [GO:0071480]; defense response to virus [GO:0051607]; dendritic cell apoptotic process [GO:0097048]; dendritic cell proliferation [GO:0044565]; ectopic germ cell programmed cell death [GO:0035234]; endocytosis [GO:0006897]; epithelial cell proliferation [GO:0050673]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; fertilization [GO:0009566]; germ cell development [GO:0007281]; hepatocyte apoptotic process [GO:0097284]; in utero embryonic development [GO:0001701]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; male gonad development [GO:0008584]; negative regulation of anoikis [GO:2000811]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagy [GO:0010507]; negative regulation of dendritic cell apoptotic process [GO:2000669]; negative regulation of developmental process [GO:0051093]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of execution phase of apoptosis [GO:1900118]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; negative regulation of reproductive process [GO:2000242]; neuron apoptotic process [GO:0051402]; ovarian follicle development [GO:0001541]; positive regulation of apoptotic process [GO:0043065]; positive regulation of mononuclear cell proliferation [GO:0032946]; regulation of cytokinesis [GO:0032465]; regulation of growth [GO:0040008]; regulation of mitochondrial membrane permeability [GO:0046902]; regulation of mitochondrial membrane potential [GO:0051881]; release of cytochrome c from mitochondria [GO:0001836]; response to cycloheximide [GO:0046898]; response to cytokine [GO:0034097]; spermatogenesis [GO:0007283]
Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	clathrin-dependent endocytosis [GO:0072583]; ERAD pathway [GO:0036503]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein secretion [GO:0009306]; synaptic vesicle endocytosis [GO:0048488]; viral protein processing [GO:0019082]
Cytochrome c oxidase assembly factor 6 homolog	COA6 C1orf31	mitochondrial respiratory chain complex IV assembly [GO:0033617]; respiratory chain complex IV assembly [GO:0008535]
Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial (hCOX16)	COX16 C14orf112 HSPC203 PTD019	mitochondrial respiratory chain complex IV assembly [GO:0033617]
DNA replication ATP-dependent helicase/nuclease DNA2 (hDNA2) (DNA replication ATP-dependent helicase-like homolog) [Includes: DNA replication nuclease DNA2 (EC 3.1.-.-); DNA replication ATP-dependent helicase DNA2 (EC 3.6.4.12)]	DNA2 DNA2L KIAA0083	base-excision repair [GO:0006284]; DNA double-strand break processing [GO:0000729]; DNA geometric change [GO:0032392]; DNA replication [GO:0006260]; DNA replication checkpoint signaling [GO:0000076]; DNA replication, Okazaki fragment processing [GO:0033567]; DNA replication, removal of RNA primer [GO:0043137]; mitochondrial DNA repair [GO:0043504]; mitochondrial DNA replication [GO:0006264]; mitotic telomere maintenance via semi-conservative replication [GO:1902990]; positive regulation of DNA replication [GO:0045740]; replication fork reversal [GO:0071932]; t-circle formation [GO:0090656]; telomere maintenance [GO:0000723]; telomere maintenance via semi-conservative replication [GO:0032201]
Gap junction beta-2 protein (Connexin-26) (Cx26)	GJB2	cell-cell signaling [GO:0007267]; gap junction assembly [GO:0016264]; gap junction-mediated intercellular transport [GO:1990349]; sensory perception of sound [GO:0007605]; transmembrane transport [GO:0055085]
Inositol 1,4,5-trisphosphate-gated calcium channel ITPR2 (IP3 receptor isoform 2) (IP3R 2) (InsP3R2) (Inositol 1,4,5-trisphosphate receptor type 2) (Type 2 inositol 1,4,5-trisphosphate receptor) (Type 2 InsP3 receptor)	ITPR2	cellular response to cAMP [GO:0071320]; cellular response to ethanol [GO:0071361]; release of sequestered calcium ion into cytosol [GO:0051209]; response to hypoxia [GO:0001666]; signal transduction [GO:0007165]
Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha)	LAMA3 LAMNA	cell-cell adhesion [GO:0098609]; endodermal cell differentiation [GO:0035987]; epidermis development [GO:0008544]; hemidesmosome assembly [GO:0031581]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]
E3 ubiquitin-protein ligase MARCHF5 (EC 2.3.2.27) (Membrane-associated RING finger protein 5) (Membrane-associated RING-CH protein V) (MARCH-V) (Mitochondrial ubiquitin ligase) (MITOL) (RING finger protein 153) (RING-type E3 ubiquitin transferase MARCHF5)	MARCHF5 MARCH5 RNF153	negative regulation of cytoplasmic pattern recognition receptor signaling pathway [GO:0039532]; positive regulation of cGAS/STING signaling pathway [GO:0141111]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; protein autoubiquitination [GO:0051865]; protein K27-linked ubiquitination [GO:0044314]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked ubiquitination [GO:0070534]; protein localization to mitochondrion [GO:0070585]; protein polyubiquitination [GO:0000209]; regulation of mitochondrial fission [GO:0090140]
Mitofusin-1 (EC 3.6.5.-) (Fzo homolog) (Transmembrane GTPase MFN1)	MFN1	GTP metabolic process [GO:0046039]; mitochondrial fusion [GO:0008053]; mitochondrion localization [GO:0051646]; positive regulation of mitochondrial membrane potential [GO:0010918]
