Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	ABCB1 MDR1 PGY1	carboxylic acid transmembrane transport [GO:1905039]; cellular hyperosmotic salinity response [GO:0071475]; cellular response to alkaloid [GO:0071312]; cellular response to antibiotic [GO:0071236]; cellular response to borneol [GO:1905231]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to estradiol stimulus [GO:0071392]; cellular response to external biotic stimulus [GO:0071217]; cellular response to L-glutamate [GO:1905232]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to mycotoxin [GO:0036146]; cellular response to nonylphenol [GO:1904148]; cellular response to tumor necrosis factor [GO:0071356]; ceramide translocation [GO:0099040]; circadian rhythm [GO:0007623]; daunorubicin transport [GO:0043215]; establishment of blood-brain barrier [GO:0060856]; establishment of blood-retinal barrier [GO:1990963]; export across plasma membrane [GO:0140115]; female pregnancy [GO:0007565]; G2/M transition of mitotic cell cycle [GO:0000086]; hormone transport [GO:0009914]; intestinal absorption [GO:0050892]; lactation [GO:0007595]; maintenance of blood-brain barrier [GO:0035633]; negative regulation of sensory perception of pain [GO:1904057]; phospholipid translocation [GO:0045332]; placenta development [GO:0001890]; positive regulation of establishment of Sertoli cell barrier [GO:1904446]; positive regulation of response to drug [GO:2001025]; protein localization to bicellular tight junction [GO:1902396]; regulation of chloride transport [GO:2001225]; regulation of intestinal absorption [GO:1904478]; response to alcohol [GO:0097305]; response to antineoplastic agent [GO:0097327]; response to cadmium ion [GO:0046686]; response to codeine [GO:1905233]; response to cyclosporin A [GO:1905237]; response to glucagon [GO:0033762]; response to glycoside [GO:1903416]; response to hypoxia [GO:0001666]; response to progesterone [GO:0032570]; response to quercetin [GO:1905235]; response to thyroxine [GO:0097068]; response to vitamin A [GO:0033189]; response to vitamin D [GO:0033280]; response to xenobiotic stimulus [GO:0009410]; stem cell proliferation [GO:0072089]; terpenoid transport [GO:0046865]; transepithelial transport [GO:0070633]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]; xenobiotic metabolic process [GO:0006805]; xenobiotic transport across blood-brain barrier [GO:1990962]	41846011	85
Integrator complex assembly factor BRAT1 (BRCA1-associated ATM activator 1) (BRCA1-associated protein required for ATM activation protein 1)	BRAT1 BAAT1 C7orf27	apoptotic process [GO:0006915]; cell migration [GO:0016477]; cell population proliferation [GO:0008283]; DNA damage response [GO:0006974]; glucose metabolic process [GO:0006006]; integrator complex assembly [GO:0160234]; mitochondrion localization [GO:0051646]; positive regulation of cell growth [GO:0030307]; positive regulation of protein phosphorylation [GO:0001934]; protein localization to nucleus [GO:0034504]; response to ionizing radiation [GO:0010212]	25657994	2
Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	BECN1 GT197	amyloid-beta metabolic process [GO:0050435]; apoptotic process [GO:0006915]; autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; bone development [GO:0060348]; cell division [GO:0051301]; cellular defense response [GO:0006968]; cellular response to aluminum ion [GO:0071275]; cellular response to amino acid starvation [GO:0034198]; cellular response to copper ion [GO:0071280]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to nitrogen starvation [GO:0006995]; cellular response to oxygen-glucose deprivation [GO:0090650]; circadian rhythm [GO:0007623]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to virus [GO:0051607]; early endosome to late endosome transport [GO:0045022]; engulfment of apoptotic cell [GO:0043652]; JNK cascade [GO:0007254]; late endosome to vacuole transport [GO:0045324]; lysosome organization [GO:0007040]; macroautophagy [GO:0016236]; mitophagy [GO:0000423]; mitotic metaphase chromosome alignment [GO:0007080]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagosome assembly [GO:1902902]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of lysosome organization [GO:1905672]; negative regulation of programmed cell death [GO:0043069]; neuron development [GO:0048666]; p38MAPK cascade [GO:0038066]; phosphatidylinositol-3-phosphate biosynthetic process [GO:0036092]; positive regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902425]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of autophagy [GO:0010508]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of stress granule assembly [GO:0062029]; protein secretion [GO:0009306]; protein targeting to lysosome [GO:0006622]; protein-containing complex assembly [GO:0065003]; receptor catabolic process [GO:0032801]; regulation of autophagy [GO:0010506]; regulation of cytokinesis [GO:0032465]; regulation of macroautophagy [GO:0016241]; response to hypoxia [GO:0001666]; response to iron(II) ion [GO:0010040]; response to lead ion [GO:0010288]; response to mitochondrial depolarisation [GO:0098780]; response to vitamin E [GO:0033197]; response to xenobiotic stimulus [GO:0009410]; SMAD protein signal transduction [GO:0060395]	42216165	248
Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)	ATR FRP1	cellular response to gamma radiation [GO:0071480]; cellular response to UV [GO:0034644]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair [GO:0006302]; establishment of protein-containing complex localization to telomere [GO:0097695]; establishment of RNA localization to telomere [GO:0097694]; interstrand cross-link repair [GO:0036297]; mitotic G2/M transition checkpoint [GO:0044818]; negative regulation of DNA replication [GO:0008156]; nuclear membrane disassembly [GO:0051081]; nucleobase-containing compound metabolic process [GO:0006139]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of telomerase catalytic core complex assembly [GO:1904884]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein localization to chromosome, telomeric region [GO:0070198]; regulation of cellular response to heat [GO:1900034]; regulation of double-strand break repair [GO:2000779]; replication fork processing [GO:0031297]; replicative senescence [GO:0090399]; response to arsenic-containing substance [GO:0046685]; response to mechanical stimulus [GO:0009612]; response to xenobiotic stimulus [GO:0009410]; telomere maintenance [GO:0000723]	41993628	171
Autophagy-related protein 2 homolog A	ATG2A KIAA0404	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; glycophagy [GO:0061723]; pexophagy [GO:0000425]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of autophagy [GO:0010508]; reticulophagy [GO:0061709]	33619246	4
Autophagy-related protein 16-1 (APG16-like 1)	ATG16L1 APG16L UNQ9393/PRO34307	autophagosome assembly [GO:0000045]; axonal transport [GO:0098930]; C-terminal protein lipidation [GO:0006501]; corpus callosum development [GO:0022038]; defense response to virus [GO:0051607]; dendrite arborization [GO:0140059]; hippocampus development [GO:0021766]; macroautophagy [GO:0016236]; microautophagy [GO:0016237]; negative regulation of dendrite extension [GO:1903860]; negative stranded viral RNA replication [GO:0039689]; positive regulation of autophagy [GO:0010508]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; xenophagy [GO:0098792]	42107008	55
Autophagy-related protein 13	ATG13 KIAA0652	autophagosome assembly [GO:0000045]; mitophagy [GO:0000423]; negative regulation of cell population proliferation [GO:0008285]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of autophagy [GO:0010508]; positive regulation of protein targeting to mitochondrion [GO:1903955]; protein localization to phagophore assembly site [GO:0034497]; response to mitochondrial depolarisation [GO:0098780]	41121328	79
DCC-interacting protein 13-beta (Dip13-beta) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 2)	APPL2 DIP13B	adiponectin-activated signaling pathway [GO:0033211]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cold acclimation [GO:0009631]; diet induced thermogenesis [GO:0002024]; glucose homeostasis [GO:0042593]; negative regulation of cellular response to insulin stimulus [GO:1900077]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of D-glucose import [GO:0046325]; negative regulation of fatty acid oxidation [GO:0046322]; negative regulation of neural precursor cell proliferation [GO:2000178]; negative regulation of neurogenesis [GO:0050768]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis [GO:1905451]; positive regulation of macropinocytosis [GO:1905303]; positive regulation of phagocytosis, engulfment [GO:0060100]; protein homotetramerization [GO:0051289]; protein import into nucleus [GO:0006606]; regulation of fibroblast migration [GO:0010762]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of innate immune response [GO:0045088]; regulation of toll-like receptor 4 signaling pathway [GO:0034143]; signal transduction [GO:0007165]; signaling [GO:0023052]; transforming growth factor beta receptor signaling pathway [GO:0007179]	28585210	2
Polyunsaturated fatty acid 5-lipoxygenase (EC 1.13.11.-) (Arachidonate 5-lipoxygenase) (5-LO) (5-lipoxygenase) (EC 1.13.11.34)	ALOX5 LOG5	arachidonate metabolic process [GO:0019369]; dendritic cell migration [GO:0036336]; glucose homeostasis [GO:0042593]; humoral immune response [GO:0006959]; leukocyte chemotaxis involved in inflammatory response [GO:0002232]; leukocyte migration involved in inflammatory response [GO:0002523]; leukotriene A4 biosynthetic process [GO:1901753]; leukotriene biosynthetic process [GO:0019370]; leukotriene metabolic process [GO:0006691]; leukotriene production involved in inflammatory response [GO:0002540]; lipid oxidation [GO:0034440]; lipoxin biosynthetic process [GO:2001301]; lipoxygenase pathway [GO:0019372]; long-chain fatty acid biosynthetic process [GO:0042759]; negative regulation of angiogenesis [GO:0016525]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of inflammatory response [GO:0050728]; negative regulation of response to endoplasmic reticulum stress [GO:1903573]; negative regulation of sprouting angiogenesis [GO:1903671]; negative regulation of vascular wound healing [GO:0061044]; negative regulation of wound healing [GO:0061045]; positive regulation of bone mineralization [GO:0030501]; positive regulation of leukocyte adhesion to arterial endothelial cell [GO:1904999]; regulation of cellular response to oxidative stress [GO:1900407]; regulation of cytokine production involved in inflammatory response [GO:1900015]; regulation of fat cell differentiation [GO:0045598]; regulation of inflammatory response [GO:0050727]; regulation of inflammatory response to wounding [GO:0106014]; regulation of insulin secretion [GO:0050796]; regulation of reactive oxygen species biosynthetic process [GO:1903426]	41182544	13
Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)	ALKBH1 ABH ABH1 ALKBH	developmental growth [GO:0048589]; DNA repair [GO:0006281]; in utero embryonic development [GO:0001701]; negative regulation of neuron apoptotic process [GO:0043524]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; oxidative RNA demethylation [GO:0035513]; placenta development [GO:0001890]; positive regulation of gene expression, epigenetic [GO:0141137]; regulation of mitochondrial translation [GO:0070129]; regulation of translational elongation [GO:0006448]; regulation of translational initiation [GO:0006446]; regulation of translational initiation by tRNA modification [GO:1990983]; RNA repair [GO:0042245]; tRNA wobble cytosine modification [GO:0002101]	34922943	9
