Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
Ankyrin repeat and BTB/POZ domain-containing protein 1 (Elongation factor 1A-binding protein)	ABTB1 BPOZ PP2259		37823597	2
Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)	RPS2 RPS4	cytoplasmic translation [GO:0002181]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; translation [GO:0006412]	40522528	6
Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18)	RPS3 OK/SW-cl.26	apoptotic process [GO:0006915]; base-excision repair [GO:0006284]; cell division [GO:0051301]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to reactive oxygen species [GO:0034614]; chromosome segregation [GO:0007059]; cytoplasmic translation [GO:0002181]; cytoplasmic translational initiation [GO:0002183]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; negative regulation of DNA repair [GO:0045738]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of translation [GO:0017148]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of base-excision repair [GO:1905053]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription initiation [GO:2000144]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; regulation of apoptotic process [GO:0042981]; response to TNF agonist [GO:0061481]; spindle assembly [GO:0051225]	39609413	13
Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	RPS7	cytoplasmic translation [GO:0002181]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; neural crest cell differentiation [GO:0014033]; neural tube closure [GO:0001843]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]	41991154	5
Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Dendritic cell-derived IFNG-induced protein) (DCIP) (Monocyte protein 5) (MOP-5) (SAM domain and HD domain-containing protein 1) (hSAMHD1)	SAMHD1 MOP5	dATP catabolic process [GO:0046061]; defense response to virus [GO:0051607]; deoxyribonucleotide catabolic process [GO:0009264]; dGTP catabolic process [GO:0006203]; DNA damage response [GO:0006974]; DNA strand resection involved in replication fork processing [GO:0110025]; double-strand break repair via homologous recombination [GO:0000724]; immune response [GO:0006955]; innate immune response [GO:0045087]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; protein homotetramerization [GO:0051289]; regulation of innate immune response [GO:0045088]; somatic hypermutation of immunoglobulin genes [GO:0016446]	39655951	28
26S proteasome complex subunit SEM1 (26S proteasome complex subunit DSS1) (Deleted in split hand/split foot protein 1) (Split hand/foot deleted protein 1) (Split hand/foot malformation type 1 protein)	SEM1 C7orf76 DSS1 SHFDG1 SHFM1	double-strand break repair via homologous recombination [GO:0000724]; mRNA export from nucleus [GO:0006406]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	29401458	4
Sentrin-specific protease 6 (EC 3.4.22.-) (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6)	SENP6 KIAA0797 SSP1 SUSP1 FKSG6	protein desumoylation [GO:0016926]; protein modification by small protein removal [GO:0070646]; protein sumoylation [GO:0016925]; proteolysis [GO:0006508]; regulation of kinetochore assembly [GO:0090234]; regulation of spindle assembly [GO:0090169]	38062972	19
14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)	SFN HME1	cAMP/PKA signal transduction [GO:0141156]; establishment of skin barrier [GO:0061436]; intracellular protein localization [GO:0008104]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; keratinization [GO:0031424]; keratinocyte development [GO:0003334]; keratinocyte proliferation [GO:0043616]; negative regulation of innate immune response [GO:0045824]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell growth [GO:0030307]; positive regulation of epidermal cell differentiation [GO:0045606]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein localization [GO:1903829]; protein export from nucleus [GO:0006611]; regulation of cell cycle [GO:0051726]; regulation of cell-cell adhesion [GO:0022407]; regulation of epidermal cell division [GO:0010482]; regulation of protein localization [GO:0032880]; release of cytochrome c from mitochondria [GO:0001836]; signal transduction [GO:0007165]; stem cell proliferation [GO:0072089]	32860670	38
Serine/threonine-protein kinase Sgk2 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 2)	SGK2	intracellular signal transduction [GO:0035556]; positive regulation of transporter activity [GO:0032411]; protein phosphorylation [GO:0006468]; regulation of cell growth [GO:0001558]; regulation of cell population proliferation [GO:0042127]	26740304	8
Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like)	SGK3 CISK SGKL	intracellular signal transduction [GO:0035556]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; regulation of cell growth [GO:0001558]; regulation of cell population proliferation [GO:0042127]	35126185	14
