Protein names	Gene Names	Gene Ontology (cellular component)	Supporting_PMID	Paper_Count
Metalloendopeptidase OMA1, mitochondrial (EC 3.4.24.-) (Metalloprotease-related protein 1) (MPRP-1) (Overlapping with the m-AAA protease 1 homolog)	OMA1 MPRP1	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]	41876740	24
Mitochondrial inner membrane m-AAA protease component AFG3L2 (EC 3.4.24.-) (EC 3.6.-.-) (AFG3-like protein 2) (Paraplegin-like protein)	AFG3L2	m-AAA complex [GO:0005745]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; perinuclear theca [GO:0033011]; sperm glycocalyx [GO:0120238]; sperm head-tail coupling apparatus [GO:0120212]; sperm midpiece [GO:0097225]; sperm principal piece [GO:0097228]	33075064	5
Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)	HTRA2 OMI PRSS25	CD40 receptor complex [GO:0035631]; chromatin [GO:0000785]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; serine-type endopeptidase complex [GO:1905370]	38555279	28
Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]	CTSC CPPI	azurophil granule lumen [GO:0035578]; centrosome [GO:0005813]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	29501728	2
Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase)	GGH	azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; melanosome [GO:0042470]; nucleus [GO:0005634]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; vacuole [GO:0005773]	25316153	5
Cathepsin K (EC 3.4.22.38) (Cathepsin O) (Cathepsin O2) (Cathepsin X)	CTSK CTSO CTSO2	apical plasma membrane [GO:0016324]; endolysosome lumen [GO:0036021]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]	41852114	2
A disintegrin and metalloproteinase with thrombospondin motifs 9 (ADAM-TS 9) (ADAM-TS9) (ADAMTS-9) (EC 3.4.24.-)	ADAMTS9 KIAA1312	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]		0
Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	apical plasma membrane [GO:0016324]; endolysosome lumen [GO:0036021]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; lysosome [GO:0005764]; melanosome [GO:0042470]; peptidase inhibitor complex [GO:1904090]; perinuclear region of cytoplasm [GO:0048471]		0
Cathepsin F (CATSF) (EC 3.4.22.41)	CTSF	endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; plasma membrane [GO:0005886]		0
Pro-cathepsin H [Cleaved into: Cathepsin H mini chain; Cathepsin H (EC 3.4.22.16); Cathepsin H heavy chain; Cathepsin H light chain]	CTSH CPSB	acrosomal vesicle [GO:0001669]; alveolar lamellar body [GO:0097208]; axoneme [GO:0005930]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; lysosome [GO:0005764]; multivesicular body lumen [GO:0097486]; outer dense fiber [GO:0001520]; secretory granule lumen [GO:0034774]; tertiary granule lumen [GO:1904724]		0
