Protein Names	Gene Names	Gene Ontology	Supporting_PMID	Stress_Type	Paper_Count
Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1) (Tyrosine-protein kinase mTOR) (EC 2.7.10.2)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; anoikis [GO:0043276]; behavioral response to pain [GO:0048266]; calcineurin-NFAT signaling cascade [GO:0033173]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cell projection organization [GO:0030030]; cellular response to amino acid starvation [GO:0034198]; cellular response to amino acid stimulus [GO:0071230]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to L-leucine [GO:0071233]; cellular response to leucine starvation [GO:1990253]; cellular response to methionine [GO:0061431]; cellular response to nutrient [GO:0031670]; cellular response to nutrient levels [GO:0031669]; cellular response to osmotic stress [GO:0071470]; cellular response to starvation [GO:0009267]; cytoskeleton organization [GO:0007010]; DNA damage response [GO:0006974]; energy reserve metabolic process [GO:0006112]; germ cell development [GO:0007281]; heart morphogenesis [GO:0003007]; heart valve morphogenesis [GO:0003179]; inflammatory response [GO:0006954]; macroautophagy [GO:0016236]; multicellular organism growth [GO:0035264]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagy [GO:0010507]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of cell size [GO:0045792]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of lysosome organization [GO:1905672]; negative regulation of macroautophagy [GO:0016242]; negative regulation of protein localization to nucleus [GO:1900181]; neuronal action potential [GO:0019228]; oligodendrocyte differentiation [GO:0048709]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell growth [GO:0030307]; positive regulation of cytoplasmic translational initiation [GO:1904690]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of glycolytic process [GO:0045821]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of myotube differentiation [GO:0010831]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of pentose-phosphate shunt [GO:1905857]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of ruffle assembly [GO:1900029]; positive regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process [GO:0062027]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of transcription by RNA polymerase III [GO:0045945]; positive regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901838]; positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; positive regulation of wound healing, spreading of epidermal cells [GO:1903691]; post-embryonic development [GO:0009791]; protein destabilization [GO:0031648]; protein stabilization [GO:0050821]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of autophagosome assembly [GO:2000785]; regulation of cell growth [GO:0001558]; regulation of cell size [GO:0008361]; regulation of cellular response to heat [GO:1900034]; regulation of circadian rhythm [GO:0042752]; regulation of locomotor rhythm [GO:1904059]; regulation of lysosome organization [GO:1905671]; regulation of macroautophagy [GO:0016241]; regulation of membrane permeability [GO:0090559]; regulation of myelination [GO:0031641]; regulation of osteoclast differentiation [GO:0045670]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to amino acid [GO:0043200]; response to heat [GO:0009408]; response to nutrient levels [GO:0031667]; response to virus [GO:0009615]; T cell costimulation [GO:0031295]; T-helper 1 cell lineage commitment [GO:0002296]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; TORC2 signaling [GO:0038203]; vascular endothelial cell response to laminar fluid shear stress [GO:0097700]; voluntary musculoskeletal movement [GO:0050882]	42241169.0	Cell Death Regulators	2503
Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1) (Tyrosine-protein kinase mTOR) (EC 2.7.10.2)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; anoikis [GO:0043276]; behavioral response to pain [GO:0048266]; calcineurin-NFAT signaling cascade [GO:0033173]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cell projection organization [GO:0030030]; cellular response to amino acid starvation [GO:0034198]; cellular response to amino acid stimulus [GO:0071230]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to L-leucine [GO:0071233]; cellular response to leucine starvation [GO:1990253]; cellular response to methionine [GO:0061431]; cellular response to nutrient [GO:0031670]; cellular response to nutrient levels [GO:0031669]; cellular response to osmotic stress [GO:0071470]; cellular response to starvation [GO:0009267]; cytoskeleton organization [GO:0007010]; DNA damage response [GO:0006974]; energy reserve metabolic process [GO:0006112]; germ cell development [GO:0007281]; heart morphogenesis [GO:0003007]; heart valve morphogenesis [GO:0003179]; inflammatory response [GO:0006954]; macroautophagy [GO:0016236]; multicellular organism growth [GO:0035264]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagy [GO:0010507]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of cell size [GO:0045792]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of lysosome organization [GO:1905672]; negative regulation of macroautophagy [GO:0016242]; negative regulation of protein localization to nucleus [GO:1900181]; neuronal action potential [GO:0019228]; oligodendrocyte differentiation [GO:0048709]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell growth [GO:0030307]; positive regulation of cytoplasmic translational initiation [GO:1904690]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of glycolytic process [GO:0045821]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of myotube differentiation [GO:0010831]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of pentose-phosphate shunt [GO:1905857]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of ruffle assembly [GO:1900029]; positive regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process [GO:0062027]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of transcription by RNA polymerase III [GO:0045945]; positive regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901838]; positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; positive regulation of wound healing, spreading of epidermal cells [GO:1903691]; post-embryonic development [GO:0009791]; protein destabilization [GO:0031648]; protein stabilization [GO:0050821]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of autophagosome assembly [GO:2000785]; regulation of cell growth [GO:0001558]; regulation of cell size [GO:0008361]; regulation of cellular response to heat [GO:1900034]; regulation of circadian rhythm [GO:0042752]; regulation of locomotor rhythm [GO:1904059]; regulation of lysosome organization [GO:1905671]; regulation of macroautophagy [GO:0016241]; regulation of membrane permeability [GO:0090559]; regulation of myelination [GO:0031641]; regulation of osteoclast differentiation [GO:0045670]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to amino acid [GO:0043200]; response to heat [GO:0009408]; response to nutrient levels [GO:0031667]; response to virus [GO:0009615]; T cell costimulation [GO:0031295]; T-helper 1 cell lineage commitment [GO:0002296]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; TORC2 signaling [GO:0038203]; vascular endothelial cell response to laminar fluid shear stress [GO:0097700]; voluntary musculoskeletal movement [GO:0050882]	42241169.0	Cell Death Regulators	2503
Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (hGSDMD-NTD); Gasdermin-D, C-terminal (GSDMD-CT) (hGSDMD-CTD); Gasdermin-D, p13 (Gasdermin-D, 13 kDa) (13 kDa GSDMD); Gasdermin-D, p40]	GSDMD DFNA5L GSDMDC1 FKSG10	ceramide biosynthetic process [GO:0046513]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]; plasma membrane repair [GO:0001778]; pore complex assembly [GO:0046931]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; protein homooligomerization [GO:0051260]; protein maturation [GO:0051604]; protein secretion [GO:0009306]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]	42310305.0	Cell Death Regulators	1673
Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4)	ACSL4 ACS4 FACL4 LACS4	alpha-linolenic acid metabolic process [GO:0036109]; embryonic process involved in female pregnancy [GO:0060136]; fatty acid metabolic process [GO:0006631]; lipid biosynthetic process [GO:0008610]; lipid metabolic process [GO:0006629]; long-chain fatty acid biosynthetic process [GO:0042759]; long-chain fatty acid metabolic process [GO:0001676]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; long-chain fatty-acyl-CoA metabolic process [GO:0035336]; negative regulation of prostaglandin secretion [GO:0032307]; neuron differentiation [GO:0030182]; positive regulation of cell growth [GO:0030307]; positive regulation of ferroptosis [GO:0160020]; positive regulation of insulin secretion [GO:0032024]; unsaturated fatty acid biosynthetic process [GO:0006636]	42281538.0	Cell Death Regulators	970
NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	SIRT1 SIR2L1	angiogenesis [GO:0001525]; behavioral response to starvation [GO:0042595]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to ionizing radiation [GO:0071479]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to starvation [GO:0009267]; cellular response to tumor necrosis factor [GO:0071356]; cholesterol homeostasis [GO:0042632]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; DNA damage response [GO:0006974]; DNA methylation-dependent constitutive heterochromatin formation [GO:0006346]; DNA repair-dependent chromatin remodeling [GO:0140861]; DNA synthesis involved in DNA repair [GO:0000731]; endoplasmic reticulum unfolded protein response [GO:0030968]; energy homeostasis [GO:0097009]; fatty acid homeostasis [GO:0055089]; heterochromatin formation [GO:0031507]; intracellular glucose homeostasis [GO:0001678]; intracellular triglyceride homeostasis [GO:0035356]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; leptin-mediated signaling pathway [GO:0033210]; macrophage differentiation [GO:0030225]; maintenance of nucleus location [GO:0051658]; muscle organ development [GO:0007517]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of apoptotic process [GO:0043066]; negative regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902424]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cell cycle [GO:0045786]; negative regulation of cellular response to testosterone stimulus [GO:2000655]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of gene expression [GO:0010629]; negative regulation of hippo signaling [GO:0035331]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of phosphorylation [GO:0042326]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of protein acetylation [GO:1901984]; negative regulation of signal transduction by p53 class mediator [GO:1901797]; negative regulation of TOR signaling [GO:0032007]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of triglyceride biosynthetic process [GO:0010868]; ovulation from ovarian follicle [GO:0001542]; peptidyl-lysine acetylation [GO:0018394]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of adipose tissue development [GO:1904179]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cAMP-dependent protein kinase activity [GO:2000481]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular senescence [GO:2000774]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of DNA repair [GO:0045739]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902237]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of macroautophagy [GO:0016239]; positive regulation of macrophage apoptotic process [GO:2000111]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deacetylation [GO:0006476]; protein depropionylation [GO:0106230]; protein destabilization [GO:0031648]; protein ubiquitination [GO:0016567]; pyrimidine dimer repair by nucleotide-excision repair [GO:0000720]; rDNA heterochromatin formation [GO:0000183]; regulation of apoptotic process [GO:0042981]; regulation of bile acid biosynthetic process [GO:0070857]; regulation of brown fat cell differentiation [GO:0090335]; regulation of cell population proliferation [GO:0042127]; regulation of cellular response to heat [GO:1900034]; regulation of centrosome duplication [GO:0010824]; regulation of endodeoxyribonuclease activity [GO:0032071]; regulation of glucose metabolic process [GO:0010906]; regulation of lipid storage [GO:0010883]; regulation of mitotic cell cycle [GO:0007346]; regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035358]; regulation of smooth muscle cell apoptotic process [GO:0034391]; regulation of transcription by glucose [GO:0046015]; response to hydrogen peroxide [GO:0042542]; response to insulin [GO:0032868]; response to leptin [GO:0044321]; response to oxidative stress [GO:0006979]; single strand break repair [GO:0000012]; spermatogenesis [GO:0007283]; stress-induced premature senescence [GO:0090400]; subtelomeric heterochromatin formation [GO:0031509]; transforming growth factor beta receptor signaling pathway [GO:0007179]; triglyceride mobilization [GO:0006642]; UV-damage excision repair [GO:0070914]; white fat cell differentiation [GO:0050872]	42193192.0	Cell Death Regulators	647
High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	activation of innate immune response [GO:0002218]; apoptotic cell clearance [GO:0043277]; autophagy [GO:0006914]; base-excision repair [GO:0006284]; cellular response to interleukin-7 [GO:0098761]; cellular response to lipopolysaccharide [GO:0071222]; chromatin remodeling [GO:0006338]; dendritic cell chemotaxis [GO:0002407]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; DNA topological change [GO:0006265]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; endothelial cell chemotaxis [GO:0035767]; endothelial cell proliferation [GO:0001935]; eye development [GO:0001654]; glycogen catabolic process [GO:0005980]; heterochromatin formation [GO:0031507]; inflammatory response [GO:0006954]; inflammatory response to antigenic stimulus [GO:0002437]; innate immune response [GO:0045087]; lung development [GO:0030324]; macrophage activation involved in immune response [GO:0002281]; myeloid cell differentiation [GO:0030099]; myeloid dendritic cell activation [GO:0001773]; myeloid progenitor cell differentiation [GO:0002318]; negative regulation of apoptotic cell clearance [GO:2000426]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0017055]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; neuron projection development [GO:0031175]; neutrophil clearance [GO:0097350]; plasmacytoid dendritic cell activation [GO:0002270]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000343]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendritic cell differentiation [GO:2001200]; positive regulation of DNA binding [GO:0043388]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glycogen catabolic process [GO:0045819]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mismatch repair [GO:0032425]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of monocyte chemotaxis [GO:0090026]; positive regulation of myeloid cell differentiation [GO:0045639]; positive regulation of myeloid progenitor cell differentiation [GO:1905455]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of toll-like receptor 2 signaling pathway [GO:0034137]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; positive regulation of viral entry into host cell [GO:0046598]; positive regulation of wound healing [GO:0090303]; regulation of nucleotide-excision repair [GO:2000819]; regulation of restriction endodeoxyribonuclease activity [GO:0032072]; regulation of T cell mediated immune response to tumor cell [GO:0002840]; regulation of tolerance induction [GO:0002643]; response to glucocorticoid [GO:0051384]; T-helper 1 cell activation [GO:0035711]; T-helper 1 cell differentiation [GO:0045063]; transcription by RNA polymerase II [GO:0006366]; V(D)J recombination [GO:0033151]	42257786.0	Cell Death Regulators	592
Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10]	CASP8 MCH5	angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; B cell activation [GO:0042113]; cellular response to mechanical stimulus [GO:0071260]; execution phase of apoptosis [GO:0097194]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; heart development [GO:0007507]; macrophage differentiation [GO:0030225]; natural killer cell activation [GO:0030101]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of necroptotic process [GO:0060546]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell migration [GO:0030335]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of proteolysis [GO:0045862]; protein maturation [GO:0051604]; protein processing [GO:0016485]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; pyroptotic inflammatory response [GO:0070269]; regulation of cytokine production [GO:0001817]; regulation of innate immune response [GO:0045088]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to anesthetic [GO:0072347]; response to cobalt ion [GO:0032025]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to lipopolysaccharide [GO:0032496]; response to tumor necrosis factor [GO:0034612]; self proteolysis [GO:0097264]; syncytiotrophoblast cell differentiation involved in labyrinthine layer development [GO:0060715]; T cell activation [GO:0042110]; TRAIL-activated apoptotic signaling pathway [GO:0036462]	42249421.0	Cell Death Regulators	547
Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10]	CASP8 MCH5	angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; B cell activation [GO:0042113]; cellular response to mechanical stimulus [GO:0071260]; execution phase of apoptosis [GO:0097194]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; heart development [GO:0007507]; macrophage differentiation [GO:0030225]; natural killer cell activation [GO:0030101]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of necroptotic process [GO:0060546]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell migration [GO:0030335]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of proteolysis [GO:0045862]; protein maturation [GO:0051604]; protein processing [GO:0016485]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; pyroptotic inflammatory response [GO:0070269]; regulation of cytokine production [GO:0001817]; regulation of innate immune response [GO:0045088]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to anesthetic [GO:0072347]; response to cobalt ion [GO:0032025]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to lipopolysaccharide [GO:0032496]; response to tumor necrosis factor [GO:0034612]; self proteolysis [GO:0097264]; syncytiotrophoblast cell differentiation involved in labyrinthine layer development [GO:0060715]; T cell activation [GO:0042110]; TRAIL-activated apoptotic signaling pathway [GO:0036462]	42249421.0	Cell Death Regulators	547
Gasdermin-E (Inversely correlated with estrogen receptor expression 1) (ICERE-1) (Non-syndromic hearing impairment protein 5) [Cleaved into: Gasdermin-E, N-terminal (GSDME-NT); Gasdermin-E, C-terminal (GSDME-CT)]	GSDME DFNA5 ICERE1	cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of immune response to tumor cell [GO:0002839]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of MAPK cascade [GO:0043410]; programmed cell death [GO:0012501]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]; sensory perception of sound [GO:0007605]	42260292.0	Cell Death Regulators	521
Gasdermin-E (Inversely correlated with estrogen receptor expression 1) (ICERE-1) (Non-syndromic hearing impairment protein 5) [Cleaved into: Gasdermin-E, N-terminal (GSDME-NT); Gasdermin-E, C-terminal (GSDME-CT)]	GSDME DFNA5 ICERE1	cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of immune response to tumor cell [GO:0002839]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of MAPK cascade [GO:0043410]; programmed cell death [GO:0012501]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]; sensory perception of sound [GO:0007605]	42260292.0	Cell Death Regulators	521
