Proteotoxic Stress Proteins		
This table was generated by retriving a list of heat shock and autophagy proteins found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Adenosine receptor A1	ADORA1	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; apoptotic signaling pathway [GO:0097190]; cell-cell signaling [GO:0007267]; cognition [GO:0050890]; detection of temperature stimulus involved in sensory perception of pain [GO:0050965]; excitatory postsynaptic potential [GO:0060079]; fatty acid homeostasis [GO:0055089]; G protein-coupled purinergic nucleotide receptor signaling pathway [GO:0035589]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; leukocyte migration [GO:0050900]; lipid catabolic process [GO:0016042]; long-term synaptic depression [GO:0060292]; mucus secretion [GO:0070254]; negative regulation of acute inflammatory response [GO:0002674]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of circadian sleep/wake cycle, non-REM sleep [GO:0042323]; negative regulation of glutamate secretion [GO:0014050]; negative regulation of hormone secretion [GO:0046888]; negative regulation of leukocyte migration [GO:0002686]; negative regulation of lipid catabolic process [GO:0050995]; negative regulation of long-term synaptic depression [GO:1900453]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of mucus secretion [GO:0070256]; negative regulation of neurotrophin production [GO:0032900]; negative regulation of synaptic transmission, GABAergic [GO:0032229]; negative regulation of synaptic transmission, glutamatergic [GO:0051967]; negative regulation of systemic arterial blood pressure [GO:0003085]; nervous system development [GO:0007399]; phagocytosis [GO:0006909]; positive regulation of dephosphorylation [GO:0035306]; positive regulation of lipid catabolic process [GO:0050996]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of nucleoside transport [GO:0032244]; positive regulation of peptide secretion [GO:0002793]; positive regulation of potassium ion transport [GO:0043268]; positive regulation of systemic arterial blood pressure [GO:0003084]; protein targeting to membrane [GO:0006612]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of glomerular filtration [GO:0003093]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; regulation of respiratory gaseous exchange by nervous system process [GO:0002087]; regulation of sensory perception of pain [GO:0051930]; response to hypoxia [GO:0001666]; response to purine-containing compound [GO:0014074]; signal transduction [GO:0007165]; temperature homeostasis [GO:0001659]; triglyceride homeostasis [GO:0070328]; vasodilation [GO:0042311]
Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38)	AHSA1 C14orf3 HSPC322	maintenance of unfolded protein [GO:0036506]; positive regulation of ATP-dependent activity [GO:0032781]; protein folding [GO:0006457]
Apoptotic protease-activating factor 1 (APAF-1)	APAF1 KIAA0413	apoptotic process [GO:0006915]; cardiac muscle cell apoptotic process [GO:0010659]; cell differentiation [GO:0030154]; cellular response to transforming growth factor beta stimulus [GO:0071560]; forebrain development [GO:0030900]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; kidney development [GO:0001822]; nervous system development [GO:0007399]; neural tube closure [GO:0001843]; neuron apoptotic process [GO:0051402]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; regulation of apoptotic DNA fragmentation [GO:1902510]; regulation of apoptotic process [GO:0042981]; response to G1 DNA damage checkpoint signaling [GO:0072432]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]
BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains)	BAG4 SODD	cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to tumor necrosis factor [GO:0071356]; negative regulation of apoptotic process [GO:0043066]; negative regulation of mRNA modification [GO:0090367]; negative regulation of protein targeting to mitochondrion [GO:1903215]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell adhesion [GO:0045785]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of stress fiber assembly [GO:0051496]; protein folding [GO:0006457]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; ruffle assembly [GO:0097178]
Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7)	BAK1 BAK BCL2L7 CDN1	animal organ regeneration [GO:0031100]; apoptotic process [GO:0006915]; apoptotic process involved in blood vessel morphogenesis [GO:1902262]; apoptotic signaling pathway [GO:0097190]; B cell apoptotic process [GO:0001783]; B cell homeostasis [GO:0001782]; B cell negative selection [GO:0002352]; blood vessel remodeling [GO:0001974]; calcium ion transport into cytosol [GO:0060402]; cellular response to mechanical stimulus [GO:0071260]; cellular response to unfolded protein [GO:0034620]; cellular response to UV [GO:0034644]; endocrine pancreas development [GO:0031018]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; epithelial cell proliferation [GO:0050673]; establishment or maintenance of transmembrane electrochemical gradient [GO:0010248]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; fibroblast apoptotic process [GO:0044346]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; limb morphogenesis [GO:0035108]; mitochondrial fusion [GO:0008053]; myeloid cell homeostasis [GO:0002262]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of endoplasmic reticulum calcium ion concentration [GO:0032471]; negative regulation of gene expression [GO:0010629]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; positive regulation of apoptotic process [GO:0043065]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of proteolysis [GO:0045862]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; post-embryonic camera-type eye morphogenesis [GO:0048597]; regulation of cell cycle [GO:0051726]; regulation of mitochondrial membrane permeability [GO:0046902]; regulation of mitochondrial membrane potential [GO:0051881]; release of cytochrome c from mitochondria [GO:0001836]; response to ethanol [GO:0045471]; response to fungus [GO:0009620]; response to gamma radiation [GO:0010332]; response to hydrogen peroxide [GO:0042542]; response to mycotoxin [GO:0010046]; response to UV-C [GO:0010225]; response to xenobiotic stimulus [GO:0009410]; thymocyte apoptotic process [GO:0070242]; vagina development [GO:0060068]
BCL-6 corepressor (BCoR)	BCOR KIAA1575	blastocyst hatching [GO:0001835]; chromatin remodeling [GO:0006338]; heart development [GO:0007507]; negative regulation of bone mineralization [GO:0030502]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of tooth mineralization [GO:0070171]; negative regulation of transcription by RNA polymerase II [GO:0000122]; odontogenesis [GO:0042476]; roof of mouth development [GO:0060021]; specification of axis polarity [GO:0065001]
Calmodulin-lysine N-methyltransferase (CLNMT) (CaM KMT) (EC 2.1.1.60)	CAMKMT C2orf34 CLNMT	methylation [GO:0032259]; mitochondrion organization [GO:0007005]; regulation of opsin-mediated signaling pathway [GO:0022400]
Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	CDC37 CDC37A	positive regulation of type 2 mitophagy [GO:1905091]; post-transcriptional regulation of gene expression [GO:0010608]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of type I interferon-mediated signaling pathway [GO:0060338]; regulation of type II interferon-mediated signaling pathway [GO:0060334]
Hsp90 co-chaperone Cdc37-like 1 (Hsp90-associating relative of Cdc37)	CDC37L1 CDC37B HARC	protein folding [GO:0006457]; protein stabilization [GO:0050821]
Cornulin (53 kDa putative calcium-binding protein) (53 kDa squamous epithelial-induced stress protein) (58 kDa heat shock protein) (Squamous epithelial heat shock protein 53) (Tumor-related protein)	CRNN C1orf10 DRC1 PDRC1 SEP53	cell-cell adhesion [GO:0098609]; cellular response to cytokine stimulus [GO:0071345]; positive regulation of cell cycle G1/S phase transition [GO:1902808]; positive regulation of keratinocyte proliferation [GO:0010838]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; regulation of gene expression [GO:0010468]; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051896]; response to heat [GO:0009408]
