Mechanical & Extracellular Stress		
This table was generated by retriving a list of proteins related to Mechanotransduction and Focal Adhesion found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase AARS1) (EC 6.-.-.-) (Renal carcinoma antigen NY-REN-42)	AARS1 AARS	alanyl-tRNA aminoacylation [GO:0006419]; cerebellar Purkinje cell layer development [GO:0021680]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of signal transduction by p53 class mediator [GO:1901797]; neuromuscular process controlling balance [GO:0050885]; neuron apoptotic process [GO:0051402]; positive regulation of hippo signaling [GO:0035332]; regulation of cytoplasmic translational fidelity [GO:0140018]; tRNA aminoacylation for protein translation [GO:0006418]; tRNA modification [GO:0006400]; tRNA processing [GO:0008033]
LIM domain-containing protein ajuba	AJUBA JUB	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cytoskeleton organization [GO:0007010]; focal adhesion assembly [GO:0048041]; glycerophospholipid biosynthetic process [GO:0046474]; intracellular protein localization [GO:0008104]; lamellipodium assembly [GO:0030032]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; miRNA-mediated post-transcriptional gene silencing [GO:0035195]; negative regulation of hippo signaling [GO:0035331]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of biosynthetic process [GO:0009891]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of protein-containing complex assembly [GO:0031334]; regulation of cell migration [GO:0030334]; regulation of cellular response to hypoxia [GO:1900037]; regulation of DNA-templated transcription [GO:0006355]; response to hypoxia [GO:0001666]; wound healing, spreading of epidermal cells [GO:0035313]
Angiomotin	AMOT KIAA1071	actin cytoskeleton organization [GO:0030036]; angiogenesis [GO:0001525]; blood vessel endothelial cell migration [GO:0043534]; cell migration involved in gastrulation [GO:0042074]; cell-cell junction assembly [GO:0007043]; chemotaxis [GO:0006935]; establishment of cell polarity involved in ameboidal cell migration [GO:0003365]; gastrulation with mouth forming second [GO:0001702]; hippo signaling [GO:0035329]; in utero embryonic development [GO:0001701]; intracellular protein localization [GO:0008104]; negative regulation of angiogenesis [GO:0016525]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vascular permeability [GO:0043116]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell size [GO:0045793]; positive regulation of embryonic development [GO:0040019]; positive regulation of stress fiber assembly [GO:0051496]; regulation of cell migration [GO:0030334]; regulation of modification of postsynaptic actin cytoskeleton [GO:1905274]; regulation of small GTPase mediated signal transduction [GO:0051056]; vasculogenesis [GO:0001570]
Rho GTPase-activating protein 18 (MacGAP) (Rho-type GTPase-activating protein 18)	ARHGAP18	regulation of actin cytoskeleton organization [GO:0032956]; regulation of actin filament polymerization [GO:0030833]; regulation of cell motility [GO:2000145]; regulation of cell shape [GO:0008360]; regulation of small GTPase mediated signal transduction [GO:0051056]; small GTPase-mediated signal transduction [GO:0007264]
Axin-1 (Axis inhibition protein 1) (hAxin)	AXIN1 AXIN	apoptotic process [GO:0006915]; axial mesoderm formation [GO:0048320]; beta-catenin destruction complex assembly [GO:1904885]; canonical Wnt signaling pathway [GO:0060070]; cell development [GO:0048468]; cytoplasmic microtubule organization [GO:0031122]; dorsal/ventral axis specification [GO:0009950]; epigenetic programming in the zygotic pronuclei [GO:0044725]; head development [GO:0060322]; in utero embryonic development [GO:0001701]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of gene expression [GO:0010629]; negative regulation of protein metabolic process [GO:0051248]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; nucleocytoplasmic transport [GO:0006913]; positive regulation of JNK cascade [GO:0046330]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; post-anal tail morphogenesis [GO:0036342]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein-containing complex assembly [GO:0065003]; sensory perception of sound [GO:0007605]
Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)	CACNA1C CACH2 CACN2 CACNL1A1 CCHL1A1	calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; calcium ion transmembrane transport via high voltage-gated calcium channel [GO:0061577]; calcium ion transport into cytosol [GO:0060402]; camera-type eye development [GO:0043010]; cardiac conduction [GO:0061337]; cardiac muscle cell action potential involved in contraction [GO:0086002]; cell communication by electrical coupling involved in cardiac conduction [GO:0086064]; embryonic forelimb morphogenesis [GO:0035115]; heart development [GO:0007507]; immune system development [GO:0002520]; membrane depolarization during atrial cardiac muscle cell action potential [GO:0098912]; membrane depolarization during AV node cell action potential [GO:0086045]; membrane depolarization during cardiac muscle cell action potential [GO:0086012]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of muscle contraction [GO:0045933]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of ventricular cardiac muscle cell action potential [GO:0098911]
Centrosome-associated protein CEP250 (250 kDa centrosomal protein) (Cep250) (Centrosomal Nek2-associated protein 1) (C-Nap1) (Centrosomal protein 2)	CEP250 CEP2 CNAP1	centriole-centriole cohesion [GO:0010457]; cilium assembly [GO:0060271]; detection of light stimulus involved in visual perception [GO:0050908]; intracellular protein localization [GO:0008104]; mitotic cell cycle [GO:0000278]; non-motile cilium assembly [GO:1905515]; positive regulation of protein localization to centrosome [GO:1904781]; protein localization to centrosome [GO:0071539]; regulation of centriole-centriole cohesion [GO:0030997]
Centrosomal protein of 63 kDa (Cep63)	CEP63	cell division [GO:0051301]; centriole replication [GO:0007099]; de novo centriole assembly involved in multi-ciliated epithelial cell differentiation [GO:0098535]; DNA damage checkpoint signaling [GO:0000077]; negative regulation of innate immune response [GO:0045824]; negative regulation of protein K63-linked ubiquitination [GO:1900045]; protein stabilization [GO:0050821]; signal transduction in response to DNA damage [GO:0042770]; spindle assembly [GO:0051225]
Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	CSNK1D HCKID	circadian regulation of gene expression [GO:0032922]; COPII vesicle coating [GO:0048208]; endocytosis [GO:0006897]; Golgi organization [GO:0007030]; microtubule nucleation [GO:0007020]; midbrain dopaminergic neuron differentiation [GO:1904948]; non-motile cilium assembly [GO:1905515]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of non-canonical Wnt signaling pathway [GO:2000052]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein localization to centrosome [GO:0071539]; protein localization to cilium [GO:0061512]; protein localization to Golgi apparatus [GO:0034067]; protein phosphorylation [GO:0006468]; regulation of circadian rhythm [GO:0042752]; signal transduction [GO:0007165]; spindle assembly [GO:0051225]; Wnt signaling pathway [GO:0016055]
Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)	CTNNA1	apical junction assembly [GO:0043297]; axon regeneration [GO:0031103]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]; cellular response to indole-3-methanol [GO:0071681]; epithelial cell-cell adhesion [GO:0090136]; establishment or maintenance of cell polarity [GO:0007163]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; gap junction assembly [GO:0016264]; integrin-mediated signaling pathway [GO:0007229]; intracellular protein localization [GO:0008104]; male gonad development [GO:0008584]; negative regulation of cell motility [GO:2000146]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of integrin-mediated signaling pathway [GO:2001045]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of protein localization to nucleus [GO:1900181]; neuroblast proliferation [GO:0007405]; odontogenesis of dentin-containing tooth [GO:0042475]; ovarian follicle development [GO:0001541]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of smoothened signaling pathway [GO:0045880]; response to estrogen [GO:0043627]; smoothened signaling pathway [GO:0007224]
