Genetoxic Stress Proteins		
This table was generated by retriving a list of DNA Damage/Repair and Cell Cyle proteins found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	actin cytoskeleton organization [GO:0030036]; actin filament polymerization [GO:0030041]; activated T cell proliferation [GO:0050798]; alpha-beta T cell differentiation [GO:0046632]; associative learning [GO:0008306]; autophagy [GO:0006914]; B cell proliferation involved in immune response [GO:0002322]; B cell receptor signaling pathway [GO:0050853]; B-1 B cell homeostasis [GO:0001922]; Bergmann glial cell differentiation [GO:0060020]; BMP signaling pathway [GO:0030509]; canonical NF-kappaB signal transduction [GO:0007249]; cardiac muscle cell proliferation [GO:0060038]; cell-cell adhesion [GO:0098609]; cellular response to dopamine [GO:1903351]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidative stress [GO:0034599]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular senescence [GO:0090398]; cerebellum morphogenesis [GO:0021587]; DN4 thymocyte differentiation [GO:1904157]; DNA conformation change [GO:0071103]; DNA damage response [GO:0006974]; endothelial cell migration [GO:0043542]; ephrin receptor signaling pathway [GO:0048013]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERK1 and ERK2 cascade [GO:0070371]; establishment of localization in cell [GO:0051649]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; microspike assembly [GO:0030035]; mismatch repair [GO:0006298]; mitochondrial depolarization [GO:0051882]; mitotic cell cycle [GO:0000278]; myoblast proliferation [GO:0051450]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of cellular senescence [GO:2000773]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; neural tube closure [GO:0001843]; neuroepithelial cell differentiation [GO:0060563]; neuromuscular process controlling balance [GO:0050885]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; neuropilin signaling pathway [GO:0038189]; phospholipase C-inhibiting G protein-coupled receptor signaling pathway [GO:0030845]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; podocyte apoptotic process [GO:1903210]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel branching [GO:1905555]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendrite development [GO:1900006]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of establishment of T cell polarity [GO:1903905]; positive regulation of extracellular matrix organization [GO:1903055]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of osteoblast proliferation [GO:0033690]; positive regulation of phospholipase C/protein kinase C signal transduction [GO:0141214]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of T cell migration [GO:2000406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type II interferon production [GO:0032729]; positive regulation of vasoconstriction [GO:0045907]; positive regulation of Wnt signaling pathway, planar cell polarity pathway [GO:2000096]; post-embryonic development [GO:0009791]; protein localization to cytoplasmic microtubule plus-end [GO:1904518]; protein modification process [GO:0036211]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of autophagy [GO:0010506]; regulation of axon extension [GO:0030516]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of cell adhesion [GO:0030155]; regulation of cell cycle [GO:0051726]; regulation of cell motility [GO:2000145]; regulation of DNA-templated transcription [GO:0006355]; regulation of endocytosis [GO:0030100]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of microtubule polymerization [GO:0031113]; regulation of modification of synaptic structure [GO:1905244]; regulation of postsynaptic specialization assembly [GO:0099150]; regulation of T cell differentiation [GO:0045580]; response to endoplasmic reticulum stress [GO:0034976]; response to epinephrine [GO:0071871]; response to oxidative stress [GO:0006979]; response to xenobiotic stimulus [GO:0009410]; signal transduction in response to DNA damage [GO:0042770]; spleen development [GO:0048536]; substrate adhesion-dependent cell spreading [GO:0034446]; T cell receptor signaling pathway [GO:0050852]; thymus development [GO:0048538]; transitional one stage B cell differentiation [GO:0002333]; vascular endothelial cell response to oscillatory fluid shear stress [GO:0097706]
BRCA1-A complex subunit Abraxas 1 (Coiled-coil domain-containing protein 98) (Protein FAM175A)	ABRAXAS1 ABRA1 CCDC98 FAM175A UNQ496/PRO1013	attachment of spindle microtubules to kinetochore [GO:0008608]; chromatin organization [GO:0006325]; double-strand break repair [GO:0006302]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic G2/M transition checkpoint [GO:0044818]; mitotic spindle assembly [GO:0090307]; positive regulation of DNA repair [GO:0045739]; regulation of DNA repair [GO:0006282]; response to ionizing radiation [GO:0010212]
Alkaline ceramidase 2 (AlkCDase 2) (Alkaline CDase 2) (haCER2) (EC 3.5.1.-) (EC 3.5.1.23) (Acylsphingosine deacylase 3-like) (N-acylsphingosine amidohydrolase 3-like)	ACER2 ASAH3L PP11646	cellular response to xenobiotic stimulus [GO:0071466]; ceramide catabolic process [GO:0046514]; DNA damage response [GO:0006974]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; negative regulation of cell adhesion mediated by integrin [GO:0033629]; negative regulation of cell-matrix adhesion [GO:0001953]; positive regulation of cell population proliferation [GO:0008284]; regulation of apoptotic process [GO:0042981]; regulation of autophagy [GO:0010506]; regulation of glycoprotein biosynthetic process [GO:0010559]; response to retinoic acid [GO:0032526]; sphingolipid catabolic process [GO:0030149]; sphingosine biosynthetic process [GO:0046512]
Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	angiogenesis [GO:0001525]; calcium-mediated signaling [GO:0019722]; cell adhesion [GO:0007155]; cell chemotaxis [GO:0060326]; chemokine-mediated signaling pathway [GO:0070098]; immune response [GO:0006955]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; oculomotor nerve development [GO:0021557]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of mesenchymal stem cell migration [GO:1905322]; receptor internalization [GO:0031623]; vasculogenesis [GO:0001570]
Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)	ACTL6A BAF53 BAF53A INO80K	blastocyst formation [GO:0001825]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; negative regulation of cell differentiation [GO:0045596]; nervous system development [GO:0007399]; neural retina development [GO:0003407]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair [GO:2000779]; regulation of embryonic development [GO:0045995]; regulation of G0 to G1 transition [GO:0070316]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of nucleotide-excision repair [GO:2000819]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]; spinal cord development [GO:0021510]; telomere maintenance [GO:0000723]
Actin-related protein 5 (hARP5) (Sarcoma antigen NY-SAR-16)	ACTR5 ARP5	chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; double-strand break repair [GO:0006302]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of DNA-templated transcription [GO:0006355]; regulation of embryonic development [GO:0045995]; telomere maintenance [GO:0000723]; UV-damage excision repair [GO:0070914]
Actin-related protein 8 (hArp8) (INO80 complex subunit N)	ACTR8 ARP8 INO80N	cell division [GO:0051301]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; double-strand break repair [GO:0006302]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of DNA-templated transcription [GO:0006355]; regulation of embryonic development [GO:0045995]; telomere maintenance [GO:0000723]
ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	ADPRS ADPRHL2 ARH3	base-excision repair, gap-filling [GO:0006287]; cellular response to superoxide [GO:0071451]; DNA repair [GO:0006281]; negative regulation of necroptotic process [GO:0060546]; peptidyl-serine ADP-deribosylation [GO:0140290]
Apoptosis-enhancing nuclease (EC 3.1.-.-) (Interferon-stimulated 20 kDa exonuclease-like 1)	AEN ISG20L1 SBBI58	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; response to ionizing radiation [GO:0010212]; RNA processing [GO:0006396]
Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)	ALKBH1 ABH ABH1 ALKBH	developmental growth [GO:0048589]; DNA repair [GO:0006281]; in utero embryonic development [GO:0001701]; negative regulation of neuron apoptotic process [GO:0043524]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; oxidative RNA demethylation [GO:0035513]; placenta development [GO:0001890]; positive regulation of gene expression, epigenetic [GO:0141137]; regulation of mitochondrial translation [GO:0070129]; regulation of translational elongation [GO:0006448]; regulation of translational initiation [GO:0006446]; regulation of translational initiation by tRNA modification [GO:1990983]; RNA repair [GO:0042245]; tRNA wobble cytosine modification [GO:0002101]
