Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein)	DAB2IP AF9Q34 AIP1 KIAA1743	angiogenesis [GO:0001525]; cell motility involved in cerebral cortex radial glia guided migration [GO:0021814]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to unfolded protein [GO:0034620]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; endothelial cell apoptotic process [GO:0072577]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; layer formation in cerebral cortex [GO:0021819]; lipid droplet formation [GO:0140042]; negative regulation of angiogenesis [GO:0016525]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of epithelial cell migration [GO:0010633]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of G0 to G1 transition [GO:0070317]; negative regulation of GTPase activity [GO:0034260]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of Ras protein signal transduction [GO:0046580]; negative regulation of toll-like receptor 4 signaling pathway [GO:0034144]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; neuron projection morphogenesis [GO:0048812]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of dendrite development [GO:1900006]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of neuron migration [GO:2001224]; positive regulation of neuron projection development [GO:0010976]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of synapse maturation [GO:0090129]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein catabolic process [GO:0030163]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of cell cycle [GO:0051726]; regulation of GTPase activity [GO:0043087]; regulation of intracellular signal transduction [GO:1902531]; regulation of p38MAPK cascade [GO:1900744]; regulation of protein-containing complex assembly [GO:0043254]; tube formation [GO:0035148]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vascular endothelial growth factor receptor-2 signaling pathway [GO:0036324]	35248066	10
Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)	MAP3K9 MLK1 PRKE1	apoptotic process [GO:0006915]; positive regulation of apoptotic process [GO:0043065]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]	40254893	8
Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase VHR) (Vaccinia H1-related phosphatase) (VHR)	DUSP3 VHR	cellular response to epidermal growth factor stimulus [GO:0071364]; dephosphorylation [GO:0016311]; negative regulation of cell migration [GO:0030336]; negative regulation of chemotaxis [GO:0050922]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of JNK cascade [GO:0046329]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of T cell activation [GO:0050868]; negative regulation of T cell receptor signaling pathway [GO:0050860]; peptidyl-tyrosine dephosphorylation [GO:0035335]; positive regulation of focal adhesion disassembly [GO:0120183]; positive regulation of mitotic cell cycle [GO:0045931]; regulation of focal adhesion assembly [GO:0051893]	24886454	4
Dual specificity protein phosphatase 4 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH2) (Mitogen-activated protein kinase phosphatase 2) (MAP kinase phosphatase 2) (MKP-2)	DUSP4 MKP2 VH2	dephosphorylation [GO:0016311]; endoderm formation [GO:0001706]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of MAPK cascade [GO:0043409]; signal transduction [GO:0007165]	41916429	36
Dual specificity protein phosphatase 8 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH-5)	DUSP8 C11orf81 VH5	dephosphorylation [GO:0016311]; negative regulation of MAPK cascade [GO:0043409]; signal transduction [GO:0007165]	40301852	19
Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1)	PPM1D WIP1	cellular response to starvation [GO:0009267]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; DNA methylation-dependent constitutive heterochromatin formation [GO:0006346]; G2/M transition of mitotic cell cycle [GO:0000086]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression, epigenetic [GO:0045814]; peptidyl-threonine dephosphorylation [GO:0035970]; protein dephosphorylation [GO:0006470]; regulation of intracellular signal transduction [GO:1902531]; regulation of transcription initiation by RNA polymerase II [GO:0060260]; response to bacterium [GO:0009617]; response to radiation [GO:0009314]	31922231	29
Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	cellular response to epidermal growth factor stimulus [GO:0071364]; host-mediated activation of viral genome replication [GO:0044829]; regulation of chaperone-mediated autophagy [GO:1904714]; translation [GO:0006412]; translational elongation [GO:0006414]	35607944	2
C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (Cancer/testis antigen 89) (CT89) (Human lung cancer oncogene 6 protein) (HLC-6) (JNK-associated leucine-zipper protein) (JLP) (Mitogen-activated protein kinase 8-interacting protein 4) (Proliferation-inducing protein 6) (Protein highly expressed in testis) (PHET) (Sperm surface protein) (Sperm-associated antigen 9) (Sperm-specific protein) (Sunday driver 1)	SPAG9 HSS KIAA0516 MAPK8IP4 SYD1 HLC6	lysosome localization [GO:0032418]; negative regulation of dendrite extension [GO:1903860]; negative regulation of neuron differentiation [GO:0045665]; positive regulation of cell migration [GO:0030335]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of neuron differentiation [GO:0045666]; retrograde transport, endosome to Golgi [GO:0042147]; striated muscle cell differentiation [GO:0051146]; vesicle-mediated transport [GO:0016192]	34097562	15
Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2)	EPHB1 ELK EPHT2 HEK6 NET	angiogenesis [GO:0001525]; axon guidance [GO:0007411]; camera-type eye morphogenesis [GO:0048593]; cell chemotaxis [GO:0060326]; cell-substrate adhesion [GO:0031589]; central nervous system projection neuron axonogenesis [GO:0021952]; dendritic spine development [GO:0060996]; dendritic spine morphogenesis [GO:0060997]; detection of temperature stimulus involved in sensory perception of pain [GO:0050965]; ephrin receptor signaling pathway [GO:0048013]; establishment of cell polarity [GO:0030010]; hindbrain tangential cell migration [GO:0021934]; immunological synapse formation [GO:0001771]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of satellite cell differentiation [GO:1902725]; negative regulation of skeletal muscle satellite cell proliferation [GO:1902723]; neural precursor cell proliferation [GO:0061351]; neurogenesis [GO:0022008]; optic nerve morphogenesis [GO:0021631]; positive regulation of synapse assembly [GO:0051965]; protein autophosphorylation [GO:0046777]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of JNK cascade [GO:0046328]; retinal ganglion cell axon guidance [GO:0031290]; skeletal muscle satellite cell activation [GO:0014719]	40847801	5
Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91) (Acetyltransferase SPHK1) (EC 2.3.1.-)	SPHK1 SK1 SPHK SPK	blood vessel development [GO:0001568]; brain development [GO:0007420]; calcium-mediated signaling [GO:0019722]; cell population proliferation [GO:0008283]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; DNA biosynthetic process [GO:0071897]; inflammatory response [GO:0006954]; intracellular signal transduction [GO:0035556]; negative regulation of apoptotic process [GO:0043066]; negative regulation of ceramide biosynthetic process [GO:1900060]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of smooth muscle contraction [GO:0045987]; protein acetylation [GO:0006473]; regulation of endocytosis [GO:0030100]; regulation of endosomal vesicle fusion [GO:1905364]; regulation of interleukin-1 beta production [GO:0032651]; regulation of microglial cell activation [GO:1903978]; regulation of neuroinflammatory response [GO:0150077]; regulation of phagocytosis [GO:0050764]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to tumor necrosis factor [GO:0034612]; sphingoid catabolic process [GO:0046521]; sphingolipid biosynthetic process [GO:0030148]; sphingosine biosynthetic process [GO:0046512]; sphingosine metabolic process [GO:0006670]	37604912	41
Mitogen-activated protein kinase kinase kinase 8 (EC 2.7.11.25) (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2)	MAP3K8 COT ESTF	MAPK cascade [GO:0000165]; positive regulation of inflammatory response [GO:0050729]; protein phosphorylation [GO:0006468]; T cell costimulation [GO:0031295]	39030600	15
