Molecule-Related Stress		
This table was generated by retriving a list of proteins related to Caspases, Ferroptosis, Pore-formers, Cuproptosis, Pathanatos, and Anoikis found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	actin cytoskeleton organization [GO:0030036]; actin filament polymerization [GO:0030041]; activated T cell proliferation [GO:0050798]; alpha-beta T cell differentiation [GO:0046632]; associative learning [GO:0008306]; autophagy [GO:0006914]; B cell proliferation involved in immune response [GO:0002322]; B cell receptor signaling pathway [GO:0050853]; B-1 B cell homeostasis [GO:0001922]; Bergmann glial cell differentiation [GO:0060020]; BMP signaling pathway [GO:0030509]; canonical NF-kappaB signal transduction [GO:0007249]; cardiac muscle cell proliferation [GO:0060038]; cell-cell adhesion [GO:0098609]; cellular response to dopamine [GO:1903351]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidative stress [GO:0034599]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular senescence [GO:0090398]; cerebellum morphogenesis [GO:0021587]; DN4 thymocyte differentiation [GO:1904157]; DNA conformation change [GO:0071103]; DNA damage response [GO:0006974]; endothelial cell migration [GO:0043542]; ephrin receptor signaling pathway [GO:0048013]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERK1 and ERK2 cascade [GO:0070371]; establishment of localization in cell [GO:0051649]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; microspike assembly [GO:0030035]; mismatch repair [GO:0006298]; mitochondrial depolarization [GO:0051882]; mitotic cell cycle [GO:0000278]; myoblast proliferation [GO:0051450]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of cellular senescence [GO:2000773]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; neural tube closure [GO:0001843]; neuroepithelial cell differentiation [GO:0060563]; neuromuscular process controlling balance [GO:0050885]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; neuropilin signaling pathway [GO:0038189]; phospholipase C-inhibiting G protein-coupled receptor signaling pathway [GO:0030845]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; podocyte apoptotic process [GO:1903210]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel branching [GO:1905555]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendrite development [GO:1900006]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of establishment of T cell polarity [GO:1903905]; positive regulation of extracellular matrix organization [GO:1903055]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of osteoblast proliferation [GO:0033690]; positive regulation of phospholipase C/protein kinase C signal transduction [GO:0141214]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of T cell migration [GO:2000406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type II interferon production [GO:0032729]; positive regulation of vasoconstriction [GO:0045907]; positive regulation of Wnt signaling pathway, planar cell polarity pathway [GO:2000096]; post-embryonic development [GO:0009791]; protein localization to cytoplasmic microtubule plus-end [GO:1904518]; protein modification process [GO:0036211]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of autophagy [GO:0010506]; regulation of axon extension [GO:0030516]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of cell adhesion [GO:0030155]; regulation of cell cycle [GO:0051726]; regulation of cell motility [GO:2000145]; regulation of DNA-templated transcription [GO:0006355]; regulation of endocytosis [GO:0030100]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of microtubule polymerization [GO:0031113]; regulation of modification of synaptic structure [GO:1905244]; regulation of postsynaptic specialization assembly [GO:0099150]; regulation of T cell differentiation [GO:0045580]; response to endoplasmic reticulum stress [GO:0034976]; response to epinephrine [GO:0071871]; response to oxidative stress [GO:0006979]; response to xenobiotic stimulus [GO:0009410]; signal transduction in response to DNA damage [GO:0042770]; spleen development [GO:0048536]; substrate adhesion-dependent cell spreading [GO:0034446]; T cell receptor signaling pathway [GO:0050852]; thymus development [GO:0048538]; transitional one stage B cell differentiation [GO:0002333]; vascular endothelial cell response to oscillatory fluid shear stress [GO:0097706]
Apoptotic chromatin condensation inducer in the nucleus (Acinus)	ACIN1 ACINUS KIAA0670	apoptotic chromosome condensation [GO:0030263]; erythrocyte differentiation [GO:0030218]; mRNA processing [GO:0006397]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of apoptotic process [GO:0043065]; positive regulation of monocyte differentiation [GO:0045657]; RNA splicing [GO:0008380]
Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	adherens junction organization [GO:0034332]; amyloid precursor protein catabolic process [GO:0042987]; cell-cell signaling [GO:0007267]; cochlea development [GO:0090102]; constitutive protein ectodomain proteolysis [GO:0051089]; epidermal growth factor receptor ligand maturation [GO:0038004]; epidermal growth factor receptor signaling pathway [GO:0007173]; extracellular matrix disassembly [GO:0022617]; in utero embryonic development [GO:0001701]; integrin-mediated signaling pathway [GO:0007229]; membrane protein ectodomain proteolysis [GO:0006509]; monocyte activation [GO:0042117]; negative regulation of cell adhesion [GO:0007162]; negative regulation of gene expression [GO:0010629]; Notch signaling pathway [GO:0007219]; pore complex assembly [GO:0046931]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of T cell chemotaxis [GO:0010820]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; postsynapse organization [GO:0099173]; protein catabolic process at postsynapse [GO:0140249]; protein processing [GO:0016485]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of Notch signaling pathway [GO:0008593]; regulation of postsynapse organization [GO:0099175]; regulation of vasculature development [GO:1901342]; response to tumor necrosis factor [GO:0034612]
Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein)	AIFM2 AMID PRG3	apoptotic mitochondrial changes [GO:0008637]; cellular detoxification [GO:1990748]; negative regulation of ferroptosis [GO:0110076]; positive regulation of apoptotic process [GO:0043065]; regulation of cellular response to oxidative stress [GO:1900407]; ubiquinone metabolic process [GO:0006743]; vitamin K metabolic process [GO:0042373]
Interferon-inducible protein AIM2 (Absent in melanoma 2)	AIM2	activation of innate immune response [GO:0002218]; AIM2 inflammasome complex assembly [GO:0140970]; brain development [GO:0007420]; cellular response to interferon-beta [GO:0035458]; cellular response to xenobiotic stimulus [GO:0071466]; defense response to virus [GO:0051607]; DNA damage response [GO:0006974]; immune response [GO:0006955]; innate immune response [GO:0045087]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; neuron cellular homeostasis [GO:0070050]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein maturation [GO:0051604]; pyroptosome complex assembly [GO:1904270]; pyroptotic inflammatory response [GO:0070269]; regulation of behavior [GO:0050795]; T cell homeostasis [GO:0043029]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)]	AIMP1 EMAP2 SCYE1	angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell-cell signaling [GO:0007267]; defense response to virus [GO:0051607]; inflammatory response [GO:0006954]; leukocyte migration [GO:0050900]; negative regulation of endothelial cell proliferation [GO:0001937]; positive regulation of glucagon secretion [GO:0070094]; translation [GO:0006412]
A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	AKAP8 AKAP95	cell cycle G2/M phase transition [GO:0044839]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to prostaglandin E stimulus [GO:0071380]; innate immune response [GO:0045087]; mitotic cell cycle [GO:0000278]; mitotic chromosome condensation [GO:0007076]; negative regulation of tumor necrosis factor production [GO:0032720]; protein transport [GO:0015031]; signal transduction [GO:0007165]
RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	activation-induced cell death of T cells [GO:0006924]; anoikis [GO:0043276]; apoptotic mitochondrial changes [GO:0008637]; behavioral response to pain [GO:0048266]; beta-arrestin-dependent dopamine receptor signaling pathway [GO:0160213]; cell differentiation [GO:0030154]; cell migration involved in sprouting angiogenesis [GO:0002042]; cell population proliferation [GO:0008283]; cellular response to decreased oxygen levels [GO:0036294]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to granulocyte macrophage colony-stimulating factor stimulus [GO:0097011]; cellular response to insulin stimulus [GO:0032869]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; cellular response to peptide [GO:1901653]; cellular response to prostaglandin E stimulus [GO:0071380]; cellular response to rapamycin [GO:0072752]; cellular response to stress [GO:0033554]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; complement receptor mediated signaling pathway [GO:0002430]; cytokine-mediated signaling pathway [GO:0019221]; epidermal growth factor receptor signaling pathway [GO:0007173]; establishment of protein localization to mitochondrion [GO:0072655]; excitatory postsynaptic potential [GO:0060079]; execution phase of apoptosis [GO:0097194]; fibroblast migration [GO:0010761]; G protein-coupled receptor signaling pathway [GO:0007186]; gene expression [GO:0010467]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; glycogen biosynthetic process [GO:0005978]; inflammatory response [GO:0006954]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; interleukin-18-mediated signaling pathway [GO:0035655]; intracellular signal transduction [GO:0035556]; labyrinthine layer blood vessel development [GO:0060716]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; maintenance of protein location in mitochondrion [GO:0072656]; mammalian oogenesis stage [GO:0022605]; mammary gland epithelial cell differentiation [GO:0060644]; maternal placenta development [GO:0001893]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagy [GO:0010507]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of cilium assembly [GO:1902018]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of fatty acid beta-oxidation [GO:0031999]; negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway [GO:1903384]; negative regulation of leukocyte cell-cell adhesion [GO:1903038]; negative regulation of long-chain fatty acid import across plasma membrane [GO:0010748]; negative regulation of lymphocyte migration [GO:2000402]; negative regulation of macroautophagy [GO:0016242]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of protein localization to lysosome [GO:0150033]; negative regulation of protein maturation [GO:1903318]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of proteolysis [GO:0045861]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; nitric oxide biosynthetic process [GO:0006809]; nitric oxide metabolic process [GO:0046209]; osteoblast differentiation [GO:0001649]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; peripheral nervous system myelin maintenance [GO:0032287]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphorylation [GO:0016310]; positive regulation of anaphase-promoting complex-dependent catabolic process [GO:1905786]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of D-glucose import [GO:0046326]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of glucose metabolic process [GO:0010907]; positive regulation of glycogen biosynthetic process [GO:0045725]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of organ growth [GO:0046622]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of sodium ion transport [GO:0010765]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of TORC2 signaling [GO:1904515]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein phosphorylation [GO:0006468]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of cell migration [GO:0030334]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of mRNA stability [GO:0043488]; regulation of myelination [GO:0031641]; regulation of neuron projection development [GO:0010975]; regulation of postsynapse organization [GO:0099175]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of translation [GO:0006417]; regulation of tRNA methylation [GO:0110002]; regulation of type B pancreatic cell development [GO:2000074]; response to fluid shear stress [GO:0034405]; response to food [GO:0032094]; response to growth factor [GO:0070848]; response to growth hormone [GO:0060416]; response to heat [GO:0009408]; response to insulin-like growth factor stimulus [GO:1990418]; response to oxidative stress [GO:0006979]; response to UV-A [GO:0070141]; signal transduction [GO:0007165]; sphingosine-1-phosphate receptor signaling pathway [GO:0003376]; striated muscle cell differentiation [GO:0051146]; T cell costimulation [GO:0031295]; TOR signaling [GO:0031929]; vascular endothelial cell response to laminar fluid shear stress [GO:0097700]
RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG	brain morphogenesis [GO:0048854]; homeostasis of number of cells within a tissue [GO:0048873]; insulin receptor signaling pathway [GO:0008286]; intracellular signal transduction [GO:0035556]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cellular senescence [GO:2000773]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; positive regulation of angiogenesis [GO:0045766]; positive regulation of artery morphogenesis [GO:1905653]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cell size [GO:0045793]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of TOR signaling [GO:0032008]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; regulation of mitochondrion organization [GO:0010821]; signal transduction [GO:0007165]
Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI)	ANP32A C15orf1 LANP MAPM PHAP1	intracellular signal transduction [GO:0035556]; nucleocytoplasmic transport [GO:0006913]; regulation of apoptotic process [GO:0042981]
